C,Data,PDez,SDz,TDz,QDez,QiDez,SxDez,NGan,UF,Rateio
470,11/06/03,51,58,23,11,8,37,0,,0
471,14/06/03,51,59,31,5,36,32,0,,0
472,18/06/03,12,3,38,29,51,4,0,,0
473,21/06/03,51,7,58,49,23,41,0,,0
474,25/06/03,34,3,12,50,32,40,0,,0
475,28/06/03,19,6,43,52,8,22,0,,0
476,02/07/03,38,43,20,55,17,58,0,,0
477,05/07/03,47,34,8,6,18,38,3,AM,10.401.481
478,09/07/03,30,8,31,3,21,25,0,,0
479,12/07/03,20,54,58,26,41,46,0,,0
480,16/07/03,36,38,33,14,49,41,0,,0
481,19/07/03,42,6,24,44,22,13,3,AC,6.796.888
482,23/07/03,13,56,12,33,53,54,0,,0
483,26/07/03,16,23,35,18,44,59,0,,0
484,30/07/03,53,19,38,18,17,49,0,,0
485,02/08/03,38,28,52,30,19,57,0,,0
486,06/08/03,50,42,19,8,30,14,1,SP,5.125.800
487,09/08/03,25,22,48,52,54,8,2,SE,467.702
488,13/08/03,30,39,35,43,15,57,0,,0
489,16/08/03,28,36,17,53,33,59,0,,0
490,20/08/03,5,11,29,54,23,58,1,RJ,11.070.173
491,23/08/03,22,43,15,55,9,1,1,RJ,849.344
492,27/08/03,57,2,15,6,56,18,0,,0
493,30/08/03,54,20,3,18,42,24,0,,0
494,03/09/03,28,32,49,53,18,20,0,,0
495,06/09/03,36,15,60,8,29,49,0,,0
496,10/09/03,41,20,19,29,59,10,0,,0
497,13/09/03,9,41,32,13,58,20,0,,0
498,17/09/03,49,28,2,6,57,50,0,,0
499,20/09/03,59,1,11,5,44,4,1,PE,8.698.099
500,27/09/03,35,21,54,29,38,36,1,PR,9.394.248
501,01/10/03,34,27,56,28,16,39,0,,0
502,04/10/03,50,7,33,21,24,13,2,MS,730.915
503,08/10/03,10,21,48,27,49,7,0,,0
504,11/10/03,39,19,11,8,50,30,0,,0
505,15/10/03,47,20,52,3,46,28,0,,0
506,18/10/03,31,37,34,15,38,4,0,,0
507,22/10/03,44,58,5,27,33,3,2,MG,1.963.484
508,25/10/03,46,56,5,15,45,10,0,,0
509,29/10/03,32,55,34,35,28,33,0,,0
510,01/11/03,30,45,58,1,4,41,2,MA,4.252.983
511,05/11/03,8,36,34,37,3,4,0,,0
512,08/11/03,8,40,58,4,53,31,3,MS,653.828
513,12/11/03,46,10,27,19,33,39,0,,0
514,15/11/03,15,52,40,36,51,42,0,,0
515,19/11/03,39,16,57,15,45,48,0,,0
516,22/11/03,24,5,34,13,35,33,0,,0
517,26/11/03,51,32,8,28,38,7,0,,0
518,29/11/03,44,8,5,15,18,10,0,,0
519,03/12/03,9,36,15,19,42,22,0,,0
520,06/12/03,32,34,17,35,9,12,0,,0
521,10/12/03,28,32,38,25,15,45,0,,0
522,13/12/03,49,52,15,25,14,6,0,,0
523,17/12/03,45,58,40,39,28,44,0,,0
524,20/12/03,47,29,34,48,19,41,1,SC,42.794.697
525,27/12/03,26,32,24,49,8,10,2,MG,10.208.722
526,03/01/04,3,59,21,36,55,31,0,,0
